Date,Open,High,Low,Close,Adj Close,Volume (in Exp),day ,month,year,Volume
06-10-2004,3.442192078,3.464715004,3.403403044,3.430429935,3.418039322,267628104,6,10,2004,267628104
07-10-2004,3.426425934,3.500500917,3.417166948,3.474725008,3.462174416,282301416,7,10,2004,282301416
08-10-2004,3.471471071,3.495495081,3.42892909,3.446696997,3.434247494,221390388,8,10,2004,221390388
11-10-2004,3.428427935,3.474975109,3.349600077,3.384885073,3.37265873,209442348,11,10,2004,209442348
12-10-2004,3.364363909,3.443694115,3.338337898,3.438437939,3.426018238,233310456,12,10,2004,233310456
13-10-2004,3.586586952,3.5923419,3.505506039,3.526026011,3.513289928,395324280,13,10,2004,395324280
14-10-2004,3.52877903,3.563062906,3.46746707,3.553554058,3.540718794,208842948,14,10,2004,208842948
15-10-2004,3.626877069,3.641140938,3.552301884,3.606355906,3.593329906,263895840,15,10,2004,263895840
18-10-2004,3.58358407,3.733733892,3.533783913,3.732733011,3.719250441,280726992,18,10,2004,280726992
19-10-2004,3.766266108,3.813813925,3.687437057,3.702202082,3.68882966,362197440,19,10,2004,362197440
20-10-2004,3.704453945,3.728477955,3.49349308,3.515765905,3.503067017,454453092,20,10,2004,454453092
21-10-2004,3.613614082,3.757006884,3.544044018,3.738238096,3.724735737,582996420,21,10,2004,582996420
22-10-2004,4.267767906,4.508759022,4.106105804,4.315064907,4.299479008,1474200324,22,10,2004,1474200324
25-10-2004,4.414413929,4.865615845,4.318068027,4.689690113,4.67275095,1309257432,25,10,2004,1309257432
26-10-2004,4.663163185,4.820820808,4.504505157,4.549550056,4.533117294,891391716,26,10,2004,891391716
27-10-2004,4.572573185,4.742743015,4.548799038,4.653903961,4.637094021,533725740,27,10,2004,533725740
28-10-2004,4.671671867,4.864614964,4.644645214,4.837337017,4.81986475,593278128,28,10,2004,593278128
29-10-2004,4.977227211,5.003754139,4.769770145,4.770771027,4.753539562,845653500,29,10,2004,845653500
01-11-2004,4.843594074,4.946697235,4.78653717,4.905655861,4.887937069,488507004,1,11,2004,488507004
02-11-2004,4.974473953,4.986236095,4.838337898,4.876626968,4.859012127,453398148,2,11,2004,453398148
03-11-2004,4.959458828,5.045044899,4.773523808,4.796546936,4.779222012,554992452,3,11,2004,554992452
04-11-2004,4.715715885,4.764764786,4.588337898,4.622121811,4.605426788,575807616,4,11,2004,575807616
05-11-2004,4.554053783,4.562061787,4.217967987,4.237987995,4.222680569,792530676,5,11,2004,792530676
08-11-2004,4.277527809,4.390389919,4.239239216,4.318068027,4.302471161,447224328,8,11,2004,447224328
09-11-2004,4.356856823,4.384384155,4.135886192,4.221722126,4.206473351,442125432,9,11,2004,442125432
10-11-2004,4.271020889,4.317317009,4.162412167,4.200701237,4.185528278,425334240,10,11,2004,425334240
11-11-2004,4.232481956,4.598348141,4.193442822,4.580080032,4.563537121,598820580,11,11,2004,598820580
12-11-2004,4.635385036,4.749750137,4.43943882,4.554554939,4.538104057,669174156,12,11,2004,669174156
15-11-2004,4.515766144,4.712712765,4.473223209,4.626376152,4.609665394,475583940,15,11,2004,475583940
16-11-2004,4.441942215,4.491240978,4.275024891,4.317818165,4.302222252,835859304,16,11,2004,835859304
17-11-2004,4.229730129,4.441942215,4.229228973,4.316816807,4.301224232,724590684,17,11,2004,724590684
18-11-2004,4.261511803,4.364864826,4.147397041,4.192693233,4.177549362,664518816,18,11,2004,664518816
19-11-2004,4.231731892,4.253754139,4.167167187,4.239239216,4.223927498,350421228,19,11,2004,350421228
22-11-2004,4.115866184,4.241742134,4.036787033,4.131631851,4.116708279,494233272,22,11,2004,494233272
23-11-2004,4.203453064,4.275024891,4.166666985,4.192192078,4.177050114,496035468,23,11,2004,496035468
24-11-2004,4.374875069,4.43468523,4.317067146,4.373373032,4.357576847,610628760,24,11,2004,610628760
26-11-2004,4.399398804,4.505255222,4.387386799,4.489239216,4.473023891,258944796,26,11,2004,258944796
29-11-2004,4.513514042,4.578328133,4.442192078,4.530780792,4.514415741,426237336,29,11,2004,426237336
30-11-2004,4.52227211,4.57957983,4.510760784,4.554053783,4.537604809,307692000,30,11,2004,307692000
01-12-2004,4.553302765,4.567067146,4.493243217,4.503503799,4.487236977,314249436,1,12,2004,314249436
02-12-2004,4.502001762,4.542292118,4.46821785,4.489489079,4.473273277,250185564,2,12,2004,250185564
03-12-2004,4.503252983,4.531031132,4.44444418,4.514514923,4.498208523,234533232,3,12,2004,234533232
06-12-2004,4.482732773,4.52202177,4.404904842,4.411662102,4.395727634,249909840,6,12,2004,249909840
07-12-2004,4.404404163,4.409409046,4.268017769,4.290040016,4.274544716,274561164,7,12,2004,274561164
08-12-2004,4.263012886,4.346345901,4.222472191,4.253754139,4.238389492,301370328,8,12,2004,301370328
09-12-2004,4.260510921,4.341842175,4.215966225,4.340089798,4.324413776,305853840,9,12,2004,305853840
10-12-2004,4.340089798,4.376376152,4.28653717,4.295546055,4.280030251,172515312,10,12,2004,172515312
13-12-2004,4.308558941,4.333834171,4.24048996,4.265515804,4.250109196,192551256,13,12,2004,192551256
14-12-2004,4.279279232,4.474975109,4.244244099,4.471722126,4.455570698,443092464,14,12,2004,443092464
15-12-2004,4.454204082,4.521771908,4.420920849,4.498999119,4.482748508,458381160,15,12,2004,458381160
16-12-2004,4.428177834,4.516767025,4.403152943,4.416165829,4.400214672,342569088,16,12,2004,342569088
17-12-2004,4.423422813,4.517016888,4.418168068,4.50650692,4.490229607,295152552,17,12,2004,295152552
20-12-2004,4.554554939,4.716216087,4.551301003,4.630129814,4.613405704,392986620,20,12,2004,392986620
21-12-2004,4.662412167,4.701702118,4.589590073,4.598348141,4.581739426,220431348,21,12,2004,220431348
22-12-2004,4.602101803,4.675926208,4.57983017,4.662161827,4.645321846,156123720,22,12,2004,156123720
23-12-2004,4.690940857,4.719719887,4.65465498,4.702201843,4.685217381,144439416,23,12,2004,144439416
27-12-2004,4.733482838,4.837337017,4.732232094,4.802553177,4.785206318,243919836,27,12,2004,243919836
28-12-2004,4.80755806,4.843594074,4.780029774,4.823823929,4.806400299,165666168,28,12,2004,165666168
29-12-2004,4.799298763,4.842843056,4.799298763,4.827326775,4.809890747,107016876,29,12,2004,107016876
30-12-2004,4.829079151,4.960711002,4.80105114,4.944944859,4.927083492,235935828,30,12,2004,235935828
31-12-2004,4.985735893,5.002001762,4.818819046,4.824574947,4.807148457,306433260,31,12,2004,306433260
03-01-2005,4.939939976,5.096096039,4.8913908,5.072823048,5.054499626,633134232,3,1,2005,633134232
04-01-2005,5.040040016,5.078328133,4.841842175,4.867366791,4.849786282,549685764,4,1,2005,549685764
05-01-2005,4.841091156,4.927426815,4.81056118,4.842593193,4.825101852,329134536,5,1,2005,329134536
